fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-04-08,10928,1038,9305,915,0.09498535871156662,0.09833422890918861
2021-04-09,9906,1032,8375,900,0.10417928528164748,0.10746268656716418
2021-04-10,3659,458,3153,388,0.12517081169718502,0.12305740564541706
2021-04-11,2834,242,2357,191,0.08539167254763586,0.08103521425540942
2021-04-12,11452,1204,9523,1047,0.10513447432762836,0.10994434526934789
2021-04-13,12881,1175,10857,1008,0.09121962580544989,0.09284332688588008
2021-04-14,10001,831,8635,754,0.08309169083091691,0.08731905037637522
2021-04-15,10476,881,9005,784,0.08409698358151967,0.08706274292059966
2021-04-16,9432,882,8199,771,0.09351145038167939,0.09403585803146725
2021-04-17,3594,320,3167,276,0.08903728436282693,0.08714872118724344
2021-04-18,2295,187,1964,167,0.08148148148148149,0.08503054989816701
2021-04-19,11304,952,9810,843,0.08421797593772117,0.08593272171253823
2021-04-20,11857,1083,10324,940,0.09133844986084169,0.0910499806276637
2021-04-21,11080,772,9532,676,0.06967509025270759,0.07091900965169953
2021-04-22,10523,961,9226,856,0.09132376698660077,0.09278127032300022
2021-04-23,10107,690,8760,605,0.06826951617690709,0.06906392694063927
2021-04-24,3193,257,2765,207,0.08048856874412778,0.07486437613019892
2021-04-25,2674,163,2331,140,0.06095736724008975,0.06006006006006006
2021-04-26,9644,809,8281,704,0.08388635420987142,0.08501388721168941
2021-04-27,9169,701,7955,635,0.0764532664412695,0.0798240100565682
2021-04-28,9531,763,8182,662,0.08005455880809989,0.08090931312637496
2021-04-29,8174,652,7102,567,0.07976510888182041,0.07983666572796395
2021-04-30,7110,489,6114,444,0.06877637130801688,0.07262021589793916
2021-05-01,2140,170,1841,141,0.0794392523364486,0.07658881042911461
2021-05-02,1657,165,1440,145,0.0995775497887749,0.10069444444444445
2021-05-03,7346,649,6234,571,0.0883473999455486,0.09159448187359641
2021-05-04,7172,606,6129,493,0.0844952593418851,0.08043726545929189
2021-05-05,7093,596,6075,503,0.08402650500493444,0.08279835390946502
2021-05-06,6670,543,5749,473,0.08140929535232384,0.08227517829187685
2021-05-07,6313,446,5479,380,0.07064786947568509,0.06935572184705238
2021-05-08,2191,171,1937,146,0.07804655408489275,0.07537429013939081
2021-05-09,1437,69,1232,62,0.04801670146137787,0.05032467532467533
2021-05-10,6010,490,5111,419,0.08153078202995008,0.081980043044414
2021-05-11,7044,558,6008,475,0.07921635434412266,0.0790612516644474
2021-05-12,7523,601,6561,467,0.07988834241658913,0.07117817405883249
2021-05-13,7116,538,6100,433,0.07560427206295672,0.07098360655737705
2021-05-14,6805,504,5758,424,0.07406318883174137,0.07363667940257033
2021-05-15,2414,121,2000,112,0.050124275062137534,0.056
2021-05-16,1471,81,1215,70,0.055064581917063225,0.05761316872427984
2021-05-17,7240,587,6268,471,0.08107734806629835,0.07514358647096363
2021-05-18,3708,291,3170,241,0.0784789644012945,0.07602523659305993
2021-05-19,7160,465,6132,392,0.06494413407821228,0.0639269406392694
2021-05-20,5852,339,5007,269,0.05792891319207109,0.05372478530057919
2021-05-21,5936,299,5198,273,0.05037061994609164,0.052520200076952676
2021-05-22,2436,139,2116,104,0.057060755336617405,0.04914933837429111
2021-05-23,1320,82,1091,68,0.06212121212121212,0.06232813932172319
2021-05-24,6608,416,5498,325,0.06295399515738499,0.05911240451073117
2021-05-25,6922,461,5915,389,0.0665992487720312,0.06576500422654269
2021-05-26,6986,469,6064,392,0.06713426853707415,0.06464379947229551
2021-05-27,6413,414,5599,342,0.06455636987369406,0.061082336131452045
2021-05-28,6112,332,5339,307,0.05431937172774869,0.05750140475744522
2021-05-29,1820,114,1607,98,0.06263736263736264,0.060983198506533914
2021-05-30,1474,82,1236,66,0.05563093622795115,0.05339805825242718
2021-05-31,6434,488,5586,441,0.07584706248057196,0.07894736842105263
2021-06-01,7285,475,6273,419,0.06520247083047358,0.06679419735373825
2021-06-02,6344,542,5495,473,0.08543505674653215,0.08607825295723386
2021-06-03,5690,377,5042,351,0.06625659050966608,0.06961523205077351
2021-06-04,5933,412,4988,344,0.06944210348896006,0.06896551724137931
2021-06-05,1616,165,1443,146,0.1021039603960396,0.10117810117810118
2021-06-06,1026,104,837,84,0.10136452241715399,0.1003584229390681
2021-06-07,6164,591,5364,528,0.09587929915639196,0.09843400447427293
2021-06-08,7244,678,6379,613,0.0935946990612921,0.0960965668600094
2021-06-09,6955,644,6071,591,0.09259525521207765,0.09734804809751277
2021-06-10,5779,474,5103,418,0.08202111091884409,0.08191260043111895
2021-06-11,5973,424,5143,385,0.07098610413527541,0.07485903169356407
2021-06-12,2176,230,1899,200,0.1056985294117647,0.105318588730911
2021-06-13,1373,126,1135,104,0.09176984705025491,0.09162995594713656
2021-06-14,6441,638,5624,590,0.09905294208973763,0.10490753911806544
2021-06-15,129,8,108,7,0.06201550387596899,0.06481481481481481
