fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-10-01,3990,1292,3497,1146,0.3238095238095238,0.32770946525593364
2020-10-02,4377,1161,3780,1011,0.26525017135023987,0.26746031746031745
2020-10-03,1781,557,1583,499,0.31274564851207187,0.31522425773847124
2020-10-04,748,282,636,243,0.3770053475935829,0.38207547169811323
2020-10-05,3764,1297,3153,1095,0.34458023379383634,0.3472882968601332
2020-10-06,4476,1382,3941,1214,0.3087578194816801,0.30804364374524235
2020-10-07,4789,1362,4162,1199,0.2844017540196283,0.2880826525708794
2020-10-08,4492,1271,3944,1140,0.2829474621549421,0.28904665314401623
2020-10-09,4485,1298,3968,1171,0.28940914158305464,0.2951108870967742
2020-10-10,1602,484,1389,422,0.3021223470661673,0.30381569474442044
2020-10-11,862,286,737,261,0.33178654292343385,0.3541383989145183
2020-10-12,4502,1404,3838,1210,0.3118613949355842,0.3152683689421574
2020-10-13,5615,1743,4847,1471,0.31041852181656276,0.3034866927996699
2020-10-14,4989,1370,4369,1200,0.2746041290839848,0.2746623941405356
2020-10-15,4429,1410,3888,1261,0.3183562881011515,0.3243312757201646
2020-10-16,5512,1693,4883,1492,0.3071480406386067,0.3055498668851116
2020-10-17,2164,665,1922,591,0.30730129390018485,0.30749219562955254
2020-10-18,1121,372,975,308,0.33184656556645853,0.3158974358974359
2020-10-19,6627,2151,5961,1868,0.3245812584880036,0.31337023989263546
2020-10-20,7311,2231,6488,1971,0.3051566133223909,0.3037916152897657
2020-10-21,7121,1931,6278,1720,0.27116977952534754,0.273972602739726
2020-10-22,7644,1941,6734,1713,0.25392464678178966,0.25438075438075436
2020-10-23,7307,1975,6505,1755,0.27028876419871356,0.2697924673328209
2020-10-24,2384,718,2102,624,0.3011744966442953,0.29686013320647003
2020-10-25,1556,491,1337,417,0.31555269922879176,0.3118922961854899
2020-10-26,7612,2249,6657,1944,0.29545454545454547,0.29202343397926994
2020-10-27,8186,2180,7269,1926,0.26630833129733694,0.26496079240610815
2020-10-28,8105,2147,7191,1937,0.264898210980876,0.2693644833820053
2020-10-29,7794,1869,6770,1601,0.23979984603541185,0.2364844903988183
2020-10-30,6758,1787,5815,1540,0.2644273453684522,0.2648323301805675
2020-10-31,2165,739,1920,651,0.34133949191685914,0.3390625
2020-11-01,994,389,825,320,0.39134808853118713,0.3878787878787879
2020-11-02,2017,707,1756,628,0.3505205751115518,0.357630979498861
2020-11-03,6965,2410,6065,2087,0.3460157932519742,0.3441055234954658
2020-11-04,6996,2222,6146,1979,0.31761006289308175,0.321998047510576
2020-11-05,6771,2081,6038,1886,0.30734012701225816,0.31235508446505467
2020-11-06,6470,1935,5737,1722,0.2990726429675425,0.30015687641624544
2020-11-07,2608,890,2288,786,0.3412576687116564,0.34353146853146854
2020-11-08,1036,440,823,347,0.4247104247104247,0.42162818955042525
2020-11-09,7302,2587,6385,2270,0.35428649685017805,0.35552075176194203
2020-11-10,7946,2683,6972,2319,0.33765416561792094,0.3326161790017212
2020-11-11,6887,2083,5979,1827,0.30245389864962974,0.305569493226292
2020-11-12,6601,1845,5766,1622,0.2795031055900621,0.28130419701699616
2020-11-13,6599,1900,5837,1676,0.28792241248674044,0.2871338016104163
2020-11-14,2125,693,1847,586,0.3261176470588235,0.31727125067677314
2020-11-15,1020,366,888,325,0.3588235294117647,0.36599099099099097
2020-11-16,822,342,701,288,0.41605839416058393,0.4108416547788873
2020-11-17,6642,1999,5809,1725,0.3009635651912075,0.2969530039593734
2020-11-18,6569,2219,5711,1891,0.33779875171258944,0.33111539135002627
2020-11-19,6940,2180,6079,1927,0.31412103746397696,0.3169929264681691
2020-11-20,6382,1904,5543,1633,0.29833907865872766,0.2946058091286307
